Country_Name,Country_Code,Series_Name,Series_Code,2015,2016,2017,2018,2019,2020
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.1984582210401,16.3203306101751,16.1491503049618,15.8657135218488,15.5990453615115,14.7761369066259
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.36536062099671,2.16125984748939,2.18548661863967,2.06426147881772,2.05077012882977,1.94252335631484
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.6499072848632,15.4218225254765,15.5471947150649,15.6366541621759,15.0527469447143,13.5993749178773
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.14513153508327,7.10547993572515,7.22616015441748,7.53319313353674,7.64543578560038,7.75613790659769
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.67593508663906,4.70347567349874,4.74791692880333,4.57051742845134,4.46016494835631,3.95368245187991
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.63132348717228,1.63991401876928,1.70492672078233,1.79559529858433,1.75253436625037,1.57609323191648
Nigeria,NGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.58559167537452,0.587371085185034,0.560638215463648,0.572783212388204,0.588005207479626,0.537510175389551
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.0520055015768,10.8874269283473,11.0351992095822,11.4965712497165,11.7971941673637,11.2322880672434
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.5600154435853,15.1498827249693,14.8232454359428,15.2225180998504,14.6733807134556,13.0328279519898
